timestamp_ms,over,ball,bowler_id,batsman_id,pitch_acquire_ms,pitch_release_ms,outcome,runs,commentary
1774461691589.962,10,1,25,3,1774461691589.914,1774461691590.274,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461691600.422,1774461692603.906,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461692614.022,1774461693617.769,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461693627.899,1774461694631.040,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461694641.143,1774461695644.260,1,1,"Over 10.1  Ryan Rickelton   1"
1774461691589.962,10,1,25,3,1774461695654.389,1774461696657.562,1,1,"Over 10.1  Ryan Rickelton   1"
1774461696711.184,11,1,26,3,1774461696711.138,1774461696711.530,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461696721.643,1774461696724.723,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461696734.974,1774461697735.984,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461697746.102,1774461698747.845,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461698757.987,1774461699758.791,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,26,3,1774461699768.994,1774461700770.361,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461700825.303,1774461701842.499,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461701852.702,1774461702870.170,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461702880.333,1774461703882.495,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461703892.651,1774461704910.197,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461704920.354,1774461705936.626,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461696711.184,11,1,21,3,1774461705946.763,1774461706962.113,W(C),0,"Over 11.1  Ryan Rickelton   W(C)"
1774461707015.948,13,1,22,4,1774461707015.905,1774461707016.271,6,6,"Over 13.1  Corbin Bosch     6"
1774461707029.355,13,2,22,4,1774461707026.403,1774461707029.842,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,22,4,1774461707040.087,1774461707042.991,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,22,4,1774461707053.242,1774461708058.500,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,22,4,1774461708068.661,1774461709081.293,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,22,4,1774461709091.433,1774461710104.281,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,23,4,1774461710158.879,1774461711160.602,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,23,4,1774461711170.974,1774461712177.074,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,23,4,1774461712187.537,1774461713202.534,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,23,4,1774461713212.735,1774461714214.123,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,23,4,1774461714224.533,1774461715225.940,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461707029.355,13,2,23,4,1774461715236.344,1774461716237.463,W(B),0,"Over 13.2  Corbin Bosch     W(B)"
1774461716291.128,15,1,24,5,1774461716291.072,1774461716291.426,•,0,"Over 15.1  Hardik Pandya    •"
1774461716304.568,15,2,24,5,1774461716301.547,1774461716305.074,6,6,"Over 15.2  Hardik Pandya    6"
1774461716318.132,15,3,24,5,1774461716315.237,1774461716318.553,1,1,"Over 15.3  Hardik Pandya    1"
1774461716318.132,15,3,24,5,1774461716328.825,1774461717332.938,1,1,"Over 15.3  Hardik Pandya    1"
1774461716318.132,15,3,24,5,1774461717343.081,1774461718348.038,1,1,"Over 15.3  Hardik Pandya    1"
1774461716318.132,15,3,24,5,1774461718358.173,1774461719359.864,1,1,"Over 15.3  Hardik Pandya    1"
1774461719413.983,16,1,25,5,1774461719413.931,1774461719414.350,1,1,"Over 16.1  Hardik Pandya    1"
1774461719413.983,16,1,25,5,1774461719424.464,1774461720426.056,1,1,"Over 16.1  Hardik Pandya    1"
1774461719413.983,16,1,25,5,1774461720436.155,1774461721451.752,1,1,"Over 16.1  Hardik Pandya    1"
1774461719413.983,16,1,25,5,1774461721461.880,1774461722463.845,1,1,"Over 16.1  Hardik Pandya    1"
1774461719413.983,16,1,25,5,1774461722474.278,1774461723477.099,1,1,"Over 16.1  Hardik Pandya    1"
1774461719413.983,16,1,25,5,1774461723487.237,1774461724501.881,1,1,"Over 16.1  Hardik Pandya    1"
1774461724556.267,17,1,21,5,1774461724556.212,1774461724556.597,1,1,"Over 17.1  Hardik Pandya    1"
1774461724556.267,17,1,21,5,1774461724566.747,1774461725581.643,1,1,"Over 17.1  Hardik Pandya    1"
1774461724556.267,17,1,21,5,1774461725591.991,1774461726595.886,1,1,"Over 17.1  Hardik Pandya    1"
1774461724556.267,17,1,21,5,1774461726606.013,1774461727611.117,1,1,"Over 17.1  Hardik Pandya    1"
1774461724556.267,17,1,21,5,1774461727621.258,1774461728624.510,1,1,"Over 17.1  Hardik Pandya    1"
1774461724556.267,17,1,21,5,1774461728634.644,1774461729649.756,1,1,"Over 17.1  Hardik Pandya    1"
1774461729703.973,18,1,23,5,1774461729703.916,1774461729704.282,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,23,5,1774461729714.410,1774461729717.437,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,23,5,1774461729727.612,1774461730731.128,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,23,5,1774461730741.247,1774461731744.817,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,23,5,1774461731754.970,1774461732759.209,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,23,5,1774461732769.358,1774461733773.349,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,21,5,1774461733828.557,1774461734842.320,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,21,5,1774461734852.423,1774461735861.949,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,21,5,1774461735872.054,1774461736886.624,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,21,5,1774461736896.755,1774461737911.383,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,21,5,1774461737921.501,1774461738936.222,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461729703.973,18,1,21,5,1774461738946.374,1774461739957.128,W(R),0,"Over 18.1  Hardik Pandya    W(R)"
1774461740011.168,20,1,22,6,1774461740011.114,1774461740011.432,4,4,"Over 20.1  Quinton de Kock  4"
